skill_raw;observations;skill_normalized;possible_domains;possible_fields;type_of_skill;too_generic
Pipeline Operations;a pipeline could be both a real hydraulic pipeline and an informational one;Pipeline Operations;Hydraulic Engineering, Information Technology;Engineering, Information Technology;Hard;0
Data Room;most data rooms nowadays are just pieces of software, physical data rooms are extremely rare;Data Room;Data Management;Information Technology;Hard;0
WordPress;WordPress is a web development tool;WordPress;Web Development;Information Technology;Hard;0
job advertisements; this skill has two parts, marketing and HR;Recruitment Advertising;Recruitment, Advertising;Human Resources, Marketing;Soft;0
2ε;difficult skill to normalize, since 2ε is a version of LaTeX we will normalize it in that way;LaTeX;Markup Language;Information Technology;Hard;0
employment practices;the knowledge of labor law;Labor Law Knowledge;Labor Law;Human Resources;Soft;0
ability to lead and supervise a team of technicians; the ability to lead a team;Team Leadership;Team Management;Human Resources;Soft;0
SOP’s;SOP is an acronym, that probability stands for Standard Operating Procedures;Standard Operating Procedures;Business Management;Business Management;Soft;0
A&H;A&H is an acronym that stands for Allen & Heath, a company that produces audio mixing equipment;Mixing consoles;Audio Equipment;Miusic;Hard;0
Hilfsassistentin - Institute of Marketing and Business Management;Hilfsassistentin is a German word that stands for assistant;Assistant;Business Management;Business Management;Soft;0
Vendite;Vendite is an Italian word that stands for sales;Sales;Sales;Sales;Soft;0
Stochastic Modelling;Stochastic Modelling is a statistical skill;Stochastic Modelling;Statistics;Mathematics;Hard;0
plant startup and shutdown;this probably refers to experience in the startup and shutdown of industrial plants;Plant Startup and Shutdown;Plant Operations;Operations Management;Hard;0
patent offices;this skill probably refers to the knowledge of patent law;Patent Law;Intellectual Property and Copyright Law;Legal;0
results driven;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
Technical Report Writing;the ability to write technical reports is a form of comunication;Technical Report Writing;Written Communication;Communication;Soft;0
Patent Law;Patent Law is a legal skill;Patent Law;Intellectual Property and Copyright Law;Legal;0
professional ethics;too generic;Professional Ethics;Mental Skills;Personal Skills;Soft;1
written communication;this skill is a form of communication;Written Communication;Written Communication;Communication;Soft;0
computer software;too generic, but is related to informatics;Computer Software;Computer Skills;Information Technology;Hard;1
goal orientation;too generic;Result Driven;Mental Skills;Personal Skills;Soft;1
ReSharper;ReSharper is a visual studio extesion for software development;ReSharper;Software Development;Information Technology;Hard;0
63 Licenses;the Series 63 is a securities exam and license;Series 63;Financial Securities;Financial Services;Hard;0
lift 50 lbs. on a daily continuous basis;a physical skill;Physical Strenght;Physical Skills;Personal Skills;Hard;0
production supervisor;this is the ability to supervise a production line;Production Supervision;Production Management;Operations Management;Soft;0
asset protection;the ability to protect financial assets;Asset Protection;Financial Security;Financial Services;Soft;0
customer-first mindset;Prioritizazion
banana;Banana Accounting
database tracking;Database Administration
solid waste;Waste Management
Guitar;Music
ORCAFLEX;Naval Engineering
Customer Portfolio Management;Project Management
Application Programming;Computer Programming
electrical theory and troubleshooting techniques;Electrical Wiring
reckless driving;Driver License Ability
emergency backup generation;Energy Management
Business Analysis Planning & Monitoring;Business Analysis
fleet performance analysis;Fleet Maintenance
jQuery Mobile;jQuery
deployment;Operational Deployment Process
Security Management;Security Protocols
Windows Operating Systems;Microsoft Windows
Business Model Innovation;Business Management
Process Instrumentation;Process Management
digitalization;Innovation
academic background in a numerate and analytical discipline;Well Educated
IT software;Software Development
luxury fashion sales;Fashion Marketing and PR
ASP.NET Web API;ASP.NET
payment transactions;Accounting
technical staff;Operations Management
Product Registration;Product Management
Revenue Analysis;Financial Services
regulatory requirements;Regulatory Compliance Law
supervisory;Operations Management
Brand Awareness Programs;Brand Marketing
ISEB Business Analysis Essentials;Business Analysis
ABCP;Financial Services
administrative tasks;Accounting
and repair;Electronics
data extraction;Data Mining
EOE compliance;People Management
Visual Basic;VBA
Driving Growth;Business Development
volunteer days;People Management
Algorithm Development;Algorithms
Gestione dell'Energia;Energy Management
Import Export;International Trading
pc proficiency;Tech Savvy
National Account Management;Account Management
physical inventories;Inventory Management
data interpretation;Data Analysis
business optimization;Business Strategy
Microsoft Access;Microsoft Access
Fabric;Clothing Industry Process
payroll preparation;Accounting
following rules and policies;Work Ethic
client centric culture;Business Strategy
Kering Financial Shared Service Centre;Financial Services
AngularFire;Angular
ECDL;Computer Science
Social Analytics;Social Media Marketing
Internet Browser;Web Development
route scheduling;Operations Management
renewable energy project development;Energy Management
ios development;Software Development
repair;Electronics
E-Commerce Consultant;E-Commerce Management
EVSE home market;Supply Chain Management
SciFinder;Chemistry
Software Maintenance;Software Development
compliance with safety policies and procedures;Workplace Policy Conduct
chemical plant) or equivalent (pharmaceutical;Mechanical Engineering
HSEQ Management;HSEQ
Marine Supply;Naval Engineering
in-season opportunities;People Management
Startups;Entrepreneurship
report analysis;Reporting
auditory and visual perception;Physical Endurance and Skills
Energy Loss;Energy Management
material;Materials Management
International Management;Business Development
CDL permit;Driver License Ability
5S;Project Management
safety policies adherence;Workplace Policy Conduct
3rd Party Liaison;Corporate and Business Law
Liquefied Natural Gas;Oil and Gas Management
scenario modelling;Graphic Design
Supply Chain;Supply Chain Management
Mobile Design;Mobile Design
Vendor;Procurement
Small Business Management;Business Management
raw material costs;Cost Analysis
corporate governance;Corporate Governance
Sustainable Design;Concept Design
IT Administration;IT Operations & Management
piping engineering;Industrial Engineering
industrial production;Process Management
riding;Rigid Vehicles
Plant Planning;Business Management
40G;Electrical Wiring
clienteling;Customer Relationship Management
iri;Sales
sales goal achievement;Sales
leadership communications;Leadership
resource utilization;Business Planning
programming (R;Python
work from home;Flexibility
Corporate Tax;Tax Analyst
physical endurance;Physical Endurance and Skills
Industrial Organization;Business Management
determination to achieve objectives and deliver results;Proactivity
Electric vehicle (EV) charging market knowledge;Power Engineering
Problem Solving;Problem Solving
Grid Control;Web Development
client advisor skills;Legal Counseling
technical advice;Tech Savvy
commercial markets;Marketing
Photovoltaics;MEP Engineering
Android Development;Android Development
Adobe Photoshop;Adobe Photoshop
Purchase Management;Sales
entrepreneurial;Entrepreneurship
Digital PR Internship;Digital Marketing
501c3;Legal Counseling
ability to work at heights;Physical Endurance and Skills
financial valuation techniques;Financial Analysis
excellent store standards;Operations Management
qualifications (relevant to the role);Qualified
display knowledge;Advertising
cold calling;Sales
digital advertising;Advertising
Software Specifications;Software Development
retirement benefits;Benefits Administration
Net Zero;Sustainability
europebuying manager;Purchase Manager
Administrative help 20%;Administrative Assistance
coordinate;Business Analysis
Quality Control Management;Quality Control
Shell;Fuel Distribution and Logistics
proficiency in Microsoft Teams;Microsoft Teams
underwriting counseling;Legal Counseling
Barista;Bartending
INCOTERMS;Trading
Marine Engineering;Naval Engineering
Cosmetic Packaging;Cosmetic Product Development and Formulation
local trucking route;Operations Management
reverse factoring;Corporate Finance
effective process improvement;Process Management
MRP;Procurement
Physical Chemistry;Chemistry
Shoring;Civil Engineering
Real Estate Management;Sales
Software Development;Software Development
Claims;Financial Services
Wedding Planning;Wedding Planning
A3;Problem Solving
scientific literature;Research
JavaScript Frameworks;JavaScript
Brand Positioning Strategies;Brand Marketing
tire inspection;Tire Maintenance
benefits package;Benefits Administration
updates to site management;Web Development
passion for motorbikes;Automotives
3D Visualization;Graphic Design
corporate function collaboration;Teamwork
smart grid devices;Web Development
Retail Program Management;Retail
Business Advisor;Business Analysis
HYSYS;Software Development
results-oriented mindset;Result Driven
Web 2.0;Web 2.0
SUMMARY;Data Management
hazardous conditions;Physical Endurance and Skills
Loan Processor;Financial Services
customer engagement;Customer Relationship Management
managerial experience;Management
Weddings;Wedding Planning
health benefits;Benefits Administration
ACDSee;ACDSee
structuring;Structural Engineering
Public Affairs;Business Development
Bioorganic Chemistry;Biochemistry
floor beam installation;Structural Engineering
Customs and Market Security;Security Protocols
back of house stock management;Inventory Management
positive attitude;Good Attitude
sales campaign implementation;Sales
Customer Supervision;Customer Relationship Management
HR Organization & People Development Specialist;People Management
Subtitling;Subtitling
virtual instructor led technical content;Electronics
circular economy;Economics
PrimeNG;Angular PrimeNG
supervising;Operations Management
optimization modeling;Calculus
LinkedIn;Social Media Marketing
distributor and retailer relationships;Marketing Management
Sharepoint;Microsoft Sharepoint
resilience;Resilience
automated handling systems;Innovation
naval engineering;Naval Engineering
DUI;Subsea Operations
Global Sourcing;International Relations
English and French fluency;Communication
Searchmetrics;SEO
Unit Testing;Test-Driven Development
data analysis (MS Excel;Data Analysis
ASP.NET MVC;ASP.NET
Womenswear;Apparel and Fashion Design
Diagnostic Software;Software Maintenance
order management;Process Management
Wedding Planning;Wedding Planning
Statements of Work;Project Management
1ShoppingCart;E-Commerce Management
Branded Entertainment;Brand Marketing
electric tariffs;Energy Management
facility management;Maintenance
C programming;Computer Programming
multicultural team integration;Diversity and Inclusion Initiatives Training
Customer Meetings;Customer Support
advanced professional education;Teaching and Classroom Instruction
Western Blotting;Biochemistry
HVAC engineering;MEP Engineering
well-organized;Operations Management
OpenGL ES;Graphic Design
commercial helper;Sales
Oil and Gas Production;Oil and Gas Management
Container Management;Operations Management
Open Innovation;R&D
Partnerships;Operations Management
OVID;Security Protocols
Corporate Reporting;Reporting
Shift Management;Business Management
employee requests;People Management
equipment operation;Product Management
Business Continuity Planning;Business Strategy
ability to work rotating 12-hour shifts and overtime;Flexibility
and charging costs,experience developing solutions in similar projects including energy hardware;Operations Management
exceeding sales goals;Sales
material control;Quality Control
chemical service documents;Chemistry
SAP Administration;SAP
ABBYY;Automation
Digital Procurement;Procurement
Residential Driver;Driver License Ability
Document Security;Cybersecurity
Branding & Identity;Brand Marketing
Ability to build partnerships with EVSE and EV manufacturers;Electronics
technical experience in distributed generation in a commercial and industrial context;Operations Management
Tire Production;Tire Maintenance
AHLTA;Communication
plant equipment;Operations Management
hse activities;Sustainability
property file collection;Data Collection
clearance assessment;Legal Counseling
Market Entry;Market Research
deputy store director;Business Administration
vb;Microsoft VB
safety rules;Health and Safety
emissions mitigation;Sustainability
IT Compliance;IT Operations & Management
Store Development;Business Development
site installation feasibility analysis;Structural Engineering
Google Marketing Platform;Google Ads
OneDrive;Microsoft Outlook
hot/cold weather conditions;Physical Endurance and Skills
solution development;Business Analysis
project team;Project Management
Design Pattern;Product Design
JavaCard;Java
Data Privacy;Cybersecurity
Content Director;Content Marketing
Health Guidelines;Health and Safety
Business Process;Business Process
CLICKPOINT;Software Development
hull structure design;Naval Engineering
Customer Verification;Customer Relationship Management
write-offs;Accounting
Cryptocurrency;Cryptocurrency
Garment Construction;Textile Knitting
chemical;Chemical Engineering
IoT/M2M platforms;Digital Marketing
legal assistance;Legal Counseling
Props;Product Management
Internet Entrepreneur;Digital Marketing
negative keywords;Keyword Research
clerical support;Clerical Process
grid events;Web Development
Rally Racing;Sports Marketing
ADSO;Computer Science
forklift;Rigid Vehicles
license agreements;Intellectual Property and Copyright Law
Carbon Capture;Power Engineering
dental insurance;Health and Dentistry and Oral Health
bim;Web Design
code review;Web Development
aesthetic sensitivity;Passionate
codes;Software Development
Privacy Protection;Data Privacy Compliance and Regulations Law
401k;Accounting
Projektplanung;Project Management
Customer Journey Management;Customer Support
Agile Mindset;Project Management
CV Assessment;People Management
Boarding House Management;Travel and Tourism Services
business process review and transformation;Business Process
Autodesk;Autodesk Suite
luxury/retail;Luxury Management
Anti-Money Laundering;Legal Counseling
computer literacy;Computer Science
negotiate and manage relationships;Negotiation
etc.);Operations Management
Website Management;Web Development
selling skills;Sales
food fraud mitigation;Business Analysis
CPG;Food and Beverages Management
Solid State Characterization;Electrochemical Characterization
Journalism;Journalism
ISO 14001;ISO 14001
Java Swing;Java
Adobe SolidWorks;Adobe SolidWorks
Talent Metrics;Talent Acquisition and Recruitment
Linguaggi Assembly;Microcontrollers
multichannel environment;Marketing
Hydraulic torque;MEP Engineering
mechanic engineering;Mechanical Engineering
programming (Python;Python
SAP BI;SAP
risk analysis;Risk Management
Online Journalism;Journalism
Water Engineering;Power Engineering
insights;Business Analysis
Operations Research;Operations Management
vehicle dynamics;Mechanical Engineering
International Business Management;Business Management
directives;Process Management
prospecting;Sales
digital;Digital Awareness
Strategic Influence;Influencing Skills
Mapping Energy Storage;Energy Management
landfills;Sustainability
welding skills;Product Management
pre-trip and post-trip vehicle inspection;Auditing
work boots;PPE Management
SAP Travel;Travel Management
Technologies;Tech Savvy
3D Graphic Design;Graphic Design
Shiny;R Programming Language
bulldozers;Rigid Vehicles
process approach;Business Process
client advisory;Legal Counseling
insurance claims support;Healthcare Administration and Management
High Availability;Flexibility
outstanding track record;Work Ethic
trenching;Construction
power generation technologies;Power Engineering
QA/QC activities;Quality Control
Sap FICO;SAP
5G;Telecommunications
hand and power tools;Power Engineering
standards;Operations Management
test-driven development;Test-Driven Development
minor repairs;Maintenance
early warning models;Financial Analysis
luxury apparel experience;Luxury Management
Scouting;Talent Acquisition and Recruitment
cipd accreditation;People Management
Windows 7;Microsoft Windows
Marine Management;Naval Management
customer requirements;Customer Relationship Management
canoe tool;CanOE
technical feasibility;Business Analysis
SAP Bank Guartees;SAP Finacial Services
ability to perform pre- and post-operation inspection of assigned vehicle;Automotives
Concrete Design;Product Design
auto loan processing;Financial Services
electric grid technology;Electrical Wiring
Organometallic Chemistry;Chemistry
value added activities;Marketing Management
Key Management;Account Management
Product Application;Product Management
talent analytics;Talent Acquisition and Recruitment
technical skills for client outreach;Customer Relationship Management
sales goals achievement;Sales
HR Metrics;HR Analytics
JSA;Health and Safety
competitive differentiation;Business Strategy
implement;Security Protocols
Amazon Web Services (AWS);AWS
IT project management experience;IT Operations & Management
IP portfolio development;Legal Counseling
business knowledge;Business Process
Microsoft Intacct;Microsoft Sage Intacct
Mobile Internet;Mobile Devices Development
Syncsort Backup Express;Backup Management
Econometric Modelling;Economics
profitability analysis;Accounting
coaching and training;Employee Training and Development
Import;International Trading
contract pricing;Accounting
sales transactions;Sales
Seasonal Orders;Order Processing
logistics network planning;Network Building
ability to travel and work overtime;Flexibility
Microsoft CRM;Customer Relationship Management
A320;Mechanical Engineering
verbal communication skills;Communication
Computer Security;Cybersecurity
store governance;Business Administration
Cloaking;Web Development
power or gas retail price structuring;Energy Management
Quantum Optics;Physics
Industrial Tailoring;Textile Manufacturing and Production
safety management;Health and Safety
Recipe Development;Culinary Arts and Professional Cooking
promptness;Time Management
environmental training;Sustainability
glass-back sheet PV modules;MEP Engineering
technical specification writing;Technical Writing
2v0-641;Virtual Machines
Cost Control;Budgeting
scala;Computer Programming
Jade;Legal Counseling
petty cash management;Budgeting
document;Security Protocols
J-SOX;Financial Analysis
safety and environmental compliance;Health and Safety
notifications and work orders management;Business Management
Docks;Naval Management
Factories;Manufacturing
TLS;Computer Science
